year,depth,temperature,salinity,sigma.T,delta.D
1993.76111,75,7.7,31.871,24.86,0.390348
1993.76111,100,6.368,32.217,25.309,0.462323
1993.76111,150,5.702,32.945,25.965,0.584006
1993.76111,200,5.508,33.18,26.174,0.682452
1993.76111,250,5.473,33.224,26.213,0.775315
1993.84131,0,7.45,28.331,22.114,0
1993.84131,10,7.654,28.483,22.207,0.057013
1993.84131,20,7.984,28.752,22.374,0.113175
1993.84131,30,8.21,29.143,22.649,0.16757
1993.84131,50,8.608,31.02,24.062,0.257276
1993.84131,75,9.286,32.072,24.781,0.34414
1993.84131,100,6.897,32.038,25.1,0.420255
1993.84131,150,6.025,32.583,25.64,0.553119
1993.84131,200,5.498,33.14,26.143,0.659486
1993.84131,250,5.403,33.233,26.229,0.752606
1993.97192,0,4.805,29.673,23.474,0
1993.97192,10,5.377,30.161,23.801,0.042848
1993.97192,20,5.585,30.273,23.867,0.083667
1993.97192,30,5.876,30.593,24.087,0.123866
1993.97192,50,6.159,30.84,24.248,0.198964
1993.97192,75,6.352,31.099,24.429,0.289471
1993.97192,100,6.756,31.553,24.736,0.374416
1993.97192,150,6.994,32.066,25.11,0.527272
1993.97192,200,6.398,32.568,25.582,0.661013
1993.97192,250,5.625,33.197,26.174,0.762419
1994.05396,0,4.659,30.703,24.306,0
1994.05396,10,4.978,30.858,24.395,0.03617
1994.05396,20,5.085,30.841,24.371,0.071925
1994.05396,30,5.1,30.904,24.419,0.107429
1994.05396,50,5.354,31.005,24.471,0.177405
1994.05396,75,5.581,31.224,24.619,0.262703
1994.05396,100,5.924,31.528,24.82,0.344274
1994.05396,150,6.159,31.994,25.159,0.496934
1994.05396,200,6.406,32.567,25.58,0.63291
1994.05396,250,5.904,33.043,26.018,0.741209
1994.2207,0,3.465,31.262,24.863,0
1994.2207,10,3.488,31.327,24.912,0.030847
1994.2207,20,3.489,31.331,24.916,0.061401
1994.2207,30,3.49,31.338,24.921,0.091906
1994.2207,50,3.678,31.404,24.957,0.152668
1994.2207,75,3.791,31.464,24.994,0.227581
1994.2207,100,4.16,31.577,25.049,0.301589
1994.2207,150,4.63,31.894,25.253,0.442576
1994.2207,200,5.111,32.012,25.295,0.578332
1994.2207,250,5.475,32.199,25.402,0.711049
1994.33691,0,5.346,30.8,24.31,0
1994.33691,10,5.354,30.84,24.341,0.036245
1994.33691,20,5.207,31.029,24.506,0.071699
1994.33691,30,5.176,31.136,24.594,0.105825
1994.33691,50,5.166,31.37,24.781,0.171201
1994.33691,75,5.15,31.498,24.884,0.249184
1994.33691,100,4.959,31.572,24.963,0.325542
1994.33691,150,4.895,31.9,25.23,0.470681
1994.33691,200,5.663,32.796,25.852,0.596555
1994.33691,250,5.694,33.091,26.082,0.696495
1994.39648,0,7.726,28.203,21.978,0
1994.39648,10,6.392,30.02,23.574,0.051849
1994.39648,20,5.956,30.78,24.225,0.091055
1994.39648,30,6.109,31.048,24.418,0.126974
1994.39648,50,6.036,31.145,24.503,0.197063
1994.39648,75,6.054,31.44,24.734,0.281295
1994.39648,100,6.273,31.523,24.773,0.361659
1994.39648,150,5.062,31.72,25.069,0.512829
1994.39648,200,5.552,32.714,25.8,0.642286
1994.39648,250,5.7,33.046,26.046,0.747243
1994.48718,0,11.54,28.08,21.302,0
1994.48718,10,10.634,29.622,22.653,0.061423
1994.48718,20,9.393,30.369,23.434,0.108324
1994.48718,30,8.275,30.53,23.727,0.151766
1994.48718,50,6.61,31.031,24.343,0.22859
1994.48718,75,5.931,31.425,24.737,0.313695
1994.48718,100,5.416,31.687,25.004,0.391718
1994.48718,150,5.885,32.135,25.303,0.532387
1994.48718,200,5.544,32.804,25.872,0.652115
1994.48718,250,5.612,32.922,25.958,0.759656
1994.58594,0,13.06,19.095,14.099,0
1994.58594,10,11.516,28.622,21.726,0.111188
1994.58594,20,11.074,29.332,22.353,0.169158
1994.58594,30,9.838,30.354,23.353,0.219379
1994.58594,50,7.307,31.285,24.454,0.29867
1994.58594,75,6.284,31.832,25.016,0.376599
1994.58594,100,5.944,32.13,25.292,0.447466
1994.58594,150,5.656,32.789,25.847,0.569563
1994.58594,200,5.663,33.088,26.083,0.672423
1994.58594,250,5.614,33.213,26.188,0.768065
1994.6261,0,13.113,28.343,21.221,0
1994.6261,10,11.205,29.657,22.584,0.060098
1994.6261,20,10.244,30.605,23.483,0.108116
1994.6261,30,9.244,31.204,24.11,0.148948
1994.6261,50,7.213,31.531,24.659,0.219024
1994.6261,75,6.023,31.866,25.075,0.296756
1994.6261,100,6.171,32.228,25.342,0.366337
1994.6261,150,5.703,32.834,25.877,0.485583
1994.6261,200,5.624,33.077,26.079,0.588166
1994.6261,250,5.555,33.198,26.183,0.684574
1994.68372,0,12.114,27.363,20.646,0
1994.68372,10,12.285,27.903,21.034,0.070253
1994.68372,20,11.995,29.294,22.164,0.132941
1994.68372,30,11.913,30.153,22.844,0.186972
1994.68372,50,7.879,31.391,24.458,0.268435
1994.68372,75,6.332,31.894,25.059,0.346792
1994.68372,100,6.047,32.117,25.27,0.417566
1994.68372,150,5.814,32.683,25.745,0.543053
1994.68372,200,5.606,33.107,26.105,0.647697
1994.68372,250,5.441,33.278,26.26,0.741667
1994.69275,0,12.135,26.657,20.096,0
1994.69275,10,12.364,27.526,20.728,0.074655
1994.69275,20,11.843,29.891,22.653,0.136526
1994.69275,30,9.808,30.684,23.615,0.184296
1994.69275,50,6.759,31.63,24.797,0.258449
1994.69275,75,6.984,32.088,25.128,0.333408
1994.69275,100,6.401,32.273,25.349,0.402335
1994.69275,150,5.715,32.803,25.852,0.52582
1994.69275,200,5.561,33.177,26.166,0.626931
1994.69275,250,5.395,33.337,26.312,0.718497
1994.8573,0,6.787,29.445,23.073,0
1994.8573,10,6.794,29.441,23.069,0.048148
1994.8573,20,6.858,29.464,23.079,0.096289
1994.8573,30,6.931,29.496,23.095,0.144292
1994.8573,50,8.401,30.527,23.706,0.23528
1994.8573,75,8.755,31.378,24.321,0.332096
1994.8573,100,8.538,31.76,24.652,0.419
1994.8573,150,7.056,32.292,25.279,0.569629
1994.8573,200,5.961,32.845,25.855,0.693166
1994.8573,250,5.553,33.184,26.172,0.794705
1994.9502,0,5.059,30.09,23.779,0
1994.9502,10,5.219,30.457,24.053,0.039707
1994.9502,20,5.276,30.467,24.055,0.078472
1994.9502,30,5.295,30.479,24.061,0.117218
1994.9502,50,5.376,30.566,24.121,0.194449
1994.9502,75,5.597,30.74,24.235,0.287964
1994.9502,100,6.519,31.659,24.85,0.373559
1994.9502,150,5.964,32.737,25.769,0.513254
1994.9502,200,5.776,33.356,26.282,0.614523
1994.9502,250,5.598,33.535,26.444,0.700004
1995.01611,0,4.396,30.698,24.328,0
1995.01611,10,4.404,30.704,24.332,0.036135
1995.01611,20,4.423,30.718,24.341,0.072225
1995.01611,30,4.539,30.822,24.412,0.108006
1995.01611,50,4.875,31.023,24.537,0.176936
1995.01611,75,5.158,31.278,24.709,0.260916
1995.01611,100,5.946,31.671,24.929,0.339294
1995.01611,150,5.91,32.012,25.203,0.48273
1995.01611,200,5.959,32.865,25.871,0.613077
1995.01611,250,5.663,33.496,26.406,0.702512
1995.16382,0,3.127,31.234,24.87,0
1995.16382,10,3.206,31.264,24.887,0.030941
1995.16382,20,3.359,31.281,24.887,0.061781
1995.16382,30,3.346,31.292,24.897,0.092572
1995.16382,50,3.419,31.338,24.927,0.153711
1995.16382,75,3.811,31.453,24.984,0.229253
1995.16382,100,3.955,31.578,25.069,0.302898
1995.16382,150,4.646,31.865,25.228,0.445389
1995.16382,200,5.146,32.079,25.344,0.581233
1995.16382,250,5.576,32.505,25.632,0.707827
1995.29224,0,4.08,30.94,24.55,0
1995.29224,10,4.073,31.227,24.779,0.033362
1995.29224,20,4.111,31.324,24.852,0.064827
1995.29224,30,4.118,31.356,24.878,0.095817
1995.29224,50,4.115,31.409,24.919,0.157351
1995.29224,75,4.014,31.497,24.999,0.232777
1995.29224,100,4.17,31.671,25.122,0.305264
1995.29224,150,4.267,31.973,25.353,0.443409
1995.29224,200,4.763,32.352,25.602,0.570503
1995.29224,250,5.192,32.705,25.835,0.685414
1995.35156,0,5.368,31.018,24.48,0
1995.35156,10,5.345,31.332,24.731,0.033919
1995.35156,20,5.224,31.36,24.766,0.066045
1995.35156,30,5.164,31.388,24.795,0.09787
1995.35156,50,5.293,31.494,24.865,0.160767
1995.35156,75,5.19,31.612,24.97,0.237315
1995.35156,100,5.138,31.693,25.04,0.311567
1995.35156,150,4.34,32.078,25.429,0.450557
1995.35156,200,4.907,32.422,25.642,0.57426
1995.35156,250,5.075,32.608,25.771,0.690083
1995.41016,0,6.849,30.409,23.824,0
1995.41016,10,6.632,30.717,24.093,0.039461
1995.41016,20,6.601,30.973,24.299,0.077202
1995.41016,30,6.576,31.143,24.437,0.113145
1995.41016,50,6.418,31.374,24.638,0.180762
1995.41016,75,6.461,31.626,24.831,0.261047
1995.41016,100,5.575,31.904,25.157,0.335856
1995.41016,150,5.064,32.23,25.473,0.468822
1995.41016,200,5.017,32.476,25.673,0.591379
1995.41016,250,5.099,32.608,25.768,0.706229
1995.47925,0,11.475,27.551,20.903,0
1995.47925,10,9.911,28.822,22.147,0.0635
1995.47925,20,8.423,30.111,23.378,0.112781
1995.47925,30,7.866,30.814,24.007,0.155109
1995.47925,50,7.327,31.473,24.599,0.227803
1995.47925,75,6.845,31.92,25.014,0.305675
1995.47925,100,5.688,31.949,25.18,0.377296
1995.47925,150,5.315,32.351,25.54,0.509198
1995.47925,200,5.06,32.544,25.722,0.627691
1995.47925,250,5.163,32.623,25.773,0.741541
1995.57153,0,12.581,26.773,20.107,0
1995.57153,10,11.646,28.829,21.865,0.066656
1995.57153,20,10.658,30.062,22.991,0.121643
1995.57153,30,9.617,30.444,23.458,0.167784
1995.57153,50,8.888,31.669,24.528,0.244812
1995.57153,75,7.066,32.111,25.135,0.322083
1995.57153,100,6.556,32.301,25.351,0.390602
1995.57153,150,5.197,32.506,25.677,0.514687
1995.57153,200,5.411,32.802,25.886,0.627423
1995.57153,250,5.491,32.96,26.002,0.731624
1995.76819,0,9.998,24.597,18.844,0
1995.76819,10,10.206,24.956,19.092,0.088124
1995.76819,20,10.645,26.698,20.378,0.169035
1995.76819,30,10.879,28.048,21.388,0.238418
1995.76819,50,11.444,30.069,22.862,0.353027
1995.76819,75,8.991,31.83,24.638,0.454482
1995.76819,100,6.849,32.156,25.199,0.530471
1995.76819,150,5.876,32.493,25.587,0.660472
1995.76819,200,5.597,32.965,25.993,0.771046
1995.76819,250,5.579,33.084,26.09,0.871481
1995.87024,0,6.882,29.379,23.009,0
1995.87024,10,6.895,29.378,23.007,0.048759
1995.87024,20,6.898,29.379,23.007,0.09753
1995.87024,30,7.074,29.49,23.073,0.146221
1995.87024,50,9.061,30.882,23.886,0.23397
1995.87024,75,8.706,31.347,24.304,0.329829
1995.87024,100,9.153,31.762,24.56,0.418603
1995.87024,150,6.95,32.307,25.305,0.568525
1995.87024,200,5.821,32.746,25.794,0.689927
1995.87024,250,5.652,32.94,25.968,0.797794
1996.11926,0,3.727,31.446,24.986,0
1996.11926,10,3.755,31.454,24.99,0.029864
1996.11926,20,4.081,31.498,24.993,0.059701
1996.11926,30,4.213,31.546,25.019,0.089371
1996.11926,50,4.245,31.558,25.025,0.148454
1996.11926,75,4.29,31.567,25.028,0.222279
1996.11926,100,4.293,31.576,25.035,0.296034
1996.11926,150,4.803,31.814,25.172,0.441519
1996.11926,200,4.918,32.003,25.309,0.578401
1996.11926,250,5.441,32.259,25.453,0.711162
1996.19861,0,3.787,31.574,25.082,0
1996.19861,10,3.777,31.583,25.09,0.028937
1996.19861,20,3.765,31.583,25.091,0.057821
1996.19861,30,3.748,31.587,25.096,0.086692
1996.19861,50,3.657,31.619,25.129,0.14399
1996.19861,75,3.887,31.67,25.149,0.215047
1996.19861,100,3.908,31.698,25.169,0.285692
1996.19861,150,4.28,32.01,25.381,0.42313
1996.19861,200,5.031,32.268,25.507,0.550866
1996.19861,250,5.549,32.579,25.694,0.672529
1996.27539,0,3.828,31.567,25.073,0
1996.27539,10,3.84,31.667,25.151,0.028769
1996.27539,20,3.895,31.695,25.168,0.05701
1996.27539,30,3.918,31.71,25.178,0.085085
1996.27539,50,3.917,31.733,25.196,0.141019
1996.27539,75,3.887,31.757,25.218,0.210537
1996.27539,100,3.862,31.768,25.229,0.279691
1996.27539,150,3.934,31.856,25.292,0.416731
1996.27539,200,4.329,32.017,25.381,0.549455
1996.27539,250,5.009,32.312,25.544,0.677347
1996.31189,0,5.071,31.4,24.814,0
1996.31189,10,4.714,31.544,24.967,0.030812
1996.31189,20,4.465,31.662,25.086,0.059967
1996.31189,30,4.417,31.681,25.106,0.088808
1996.31189,50,4.355,31.698,25.126,0.146142
1996.31189,75,4.225,31.742,25.174,0.217101
1996.31189,100,4.382,31.843,25.238,0.286453
1996.31189,150,4.266,31.988,25.364,0.421782
1996.31189,200,5.014,32.313,25.544,0.548921
1996.31189,250,5.247,32.442,25.62,0.670622
1996.33459,0,5.808,30.786,24.247,0
1996.33459,10,5.346,31.395,24.781,0.034859
1996.33459,20,4.587,31.642,25.058,0.064905
1996.33459,30,4.496,31.673,25.092,0.093917
1996.33459,50,4.377,31.744,25.16,0.151091
1996.33459,75,4.327,31.81,25.217,0.221066
1996.33459,100,4.387,31.903,25.285,0.289626
1996.33459,150,4.583,32.098,25.42,0.42257
1996.33459,200,5.021,32.306,25.537,0.549372
1996.33459,250,5.22,32.439,25.621,0.671037
1996.36096,0,8.188,31.054,24.15,0
1996.36096,10,5.847,31.599,24.885,0.034758
1996.36096,20,4.789,31.677,25.065,0.065173
1996.36096,30,4.401,31.723,25.141,0.0939
1996.36096,50,4.141,31.771,25.205,0.150185
1996.36096,75,4.218,31.867,25.274,0.218979
1996.36096,100,4.555,32.031,25.369,0.285836
1996.36096,150,5.082,32.325,25.546,0.413203
1996.36096,200,5.312,32.467,25.632,0.534789
1996.36096,250,5.395,32.571,25.706,0.652466
1996.45044,0,10.892,28.829,21.994,0
1996.45044,10,9.095,31.193,24.124,0.040757
1996.45044,20,8.58,31.594,24.516,0.077237
1996.45044,30,7.724,31.602,24.645,0.110829
1996.45044,50,7.077,31.742,24.843,0.1756
1996.45044,75,6.009,31.811,25.032,0.251847
1996.45044,100,4.627,31.841,25.211,0.322995
1996.45044,150,4.866,32.2,25.471,0.455405
1996.45044,200,5.467,32.724,25.818,0.57633
1996.45044,250,5.527,32.836,25.9,0.684471
1996.56848,0,13.384,25.359,18.868,0
1996.56848,10,12.425,29.573,22.301,0.063211
1996.56848,20,11.933,30.494,23.105,0.11497
1996.56848,30,10.647,30.868,23.62,0.160029
1996.56848,50,8.447,31.536,24.49,0.236222
1996.56848,75,5.914,31.886,25.103,0.313825
1996.56848,100,5.395,32.155,25.377,0.382694
1996.56848,150,5.497,32.67,25.772,0.504556
1996.56848,200,5.697,32.93,25.954,0.612938
1996.56848,250,5.72,33.065,26.058,0.71518
1996.64478,0,12.741,25.435,19.044,0
1996.64478,10,13.226,28.989,21.699,0.0664
1996.64478,20,12.804,29.437,22.125,0.126254
1996.64478,30,12.739,29.729,22.363,0.182896
1996.64478,50,9.547,31.511,24.303,0.27402
1996.64478,75,6.59,31.936,25.059,0.354066
1996.64478,100,6.115,32.153,25.289,0.424574
1996.64478,150,5.776,32.759,25.809,0.549069
1996.64478,200,5.646,33.206,26.178,0.650276
1996.64478,250,5.516,33.339,26.299,0.741293
1996.72156,0,11.694,26.066,19.715,0
1996.72156,10,12.445,29.039,21.884,0.065418
1996.72156,20,11.783,29.791,22.587,0.12104
1996.72156,30,11.239,30.694,23.384,0.169408
1996.72156,50,11.042,31.577,24.104,0.253573
1996.72156,75,9.477,31.903,24.62,0.342424
1996.72156,100,7.11,31.989,25.033,0.419134
1996.72156,150,6.123,32.45,25.523,0.553112
1996.72156,200,5.627,32.991,26.01,0.668075
1996.72156,250,5.555,33.304,26.267,0.762832
1996.8092,0,7.46,28.778,22.463,0
1996.8092,10,7.613,28.935,22.567,0.051274
1996.8092,20,7.917,29.145,22.691,0.103712
1996.8092,30,8.162,29.308,22.785,0.154794
1996.8092,50,9.519,30.98,23.892,0.248165
1996.8092,75,9.407,31.628,24.416,0.340562
1996.8092,100,8.473,31.873,24.751,0.424571
1996.8092,150,6.306,32.465,25.512,0.566094
1996.8092,200,5.8,32.956,25.962,0.678288
1996.8092,250,5.619,33.169,26.153,0.77817
1996.86401,0,6.399,29.489,23.155,0
1996.86401,10,6.537,29.657,23.27,0.04495
1996.86401,20,6.571,29.73,23.324,0.090783
1996.86401,30,6.595,29.741,23.33,0.136493
1996.86401,50,7.672,30.28,23.615,0.22714
1996.86401,75,9.09,31.647,24.48,0.320679
1996.86401,100,8.249,32.002,24.884,0.401753
1996.86401,150,6.306,32.588,25.609,0.541909
1996.86401,200,5.923,32.936,25.931,0.652522
1996.86401,250,5.754,33.035,26.03,0.756598
1997.10498,0,3.589,30.514,24.257,0
1997.10498,10,4.133,31.194,24.747,0.031854
1997.10498,20,4.184,31.251,24.787,0.063782
1997.10498,30,4.217,31.282,24.809,0.09547
1997.10498,50,4.183,31.378,24.888,0.157706
1997.10498,75,4.244,31.446,24.936,0.234219
1997.10498,100,4.604,31.581,25.008,0.309444
1997.10498,150,5.067,31.866,25.185,0.454579
1997.10498,200,5.302,32.036,25.293,0.592447
1997.10498,250,5.715,32.254,25.418,0.725912
1997.17334,0,3.67,31.051,24.677,0
1997.17334,10,3.776,31.087,24.696,0.032741
1997.17334,20,4.035,31.226,24.782,0.065113
1997.17334,30,4.063,31.274,24.817,0.096703
1997.17334,50,4.117,31.299,24.832,0.159556
1997.17334,75,4.356,31.546,25.005,0.236995
1997.17334,100,4.386,31.62,25.061,0.310688
1997.17334,150,4.789,31.949,25.28,0.449833
1997.17334,200,5.018,32.055,25.339,0.58493
1997.17334,250,5.105,32.112,25.375,0.71746
1997.21277,0,3.356,31.213,24.833,0
1997.21277,10,3.371,31.217,24.835,0.031328
1997.21277,20,3.381,31.221,24.837,0.06264
1997.21277,30,3.423,31.236,24.846,0.093916
1997.21277,50,3.559,31.29,24.877,0.156201
1997.21277,75,3.663,31.387,24.944,0.232562
1997.21277,100,3.701,31.413,24.962,0.308032
1997.21277,150,4.696,31.836,25.2,0.45405
1997.21277,200,4.917,32.076,25.367,0.590078
1997.21277,250,5.074,32.197,25.446,0.719758
1997.44153,0,10.387,30.256,23.188,0
1997.44153,10,9.107,30.924,23.912,0.044704
1997.44153,20,8.325,31.392,24.395,0.083201
1997.44153,30,6.383,31.508,24.748,0.116275
1997.44153,50,5.768,31.638,24.925,0.179041
1997.44153,75,5.074,31.735,25.08,0.254061
1997.44153,100,5.118,31.874,25.185,0.325502
1997.44153,150,5.134,32.241,25.474,0.458492
1997.44153,200,5.327,32.599,25.736,0.578601
1997.44153,250,5.551,32.817,25.882,0.689928
1997.49646,0,13.136,28.271,21.161,0
1997.49646,10,9.269,30.969,23.922,0.04739
1997.49646,20,7.876,31.393,24.46,0.084535
1997.49646,30,7.595,31.595,24.657,0.118384
1997.49646,50,6.908,31.786,24.901,0.181318
1997.49646,75,6.029,31.975,25.159,0.254841
1997.49646,100,5.682,32.075,25.28,0.323971
1997.49646,150,5.342,32.613,25.745,0.449069
1997.49646,200,5.586,32.879,25.927,0.558854
1997.49646,250,5.761,33.081,26.066,0.661868
1997.55103,0,13.683,25.978,19.289,0
1997.55103,10,13.043,28.611,21.441,0.07428
1997.55103,20,12.835,29.369,22.067,0.134719
1997.55103,30,12.335,30.43,22.982,0.190072
1997.55103,50,8.018,31.469,24.499,0.268177
1997.55103,75,5.799,31.877,25.109,0.3451
1997.55103,100,5.923,32.216,25.362,0.414186
1997.55103,150,5.673,32.543,25.651,0.539243
1997.55103,200,5.639,32.929,25.96,0.649105
1997.55103,250,5.73,33.076,26.065,0.750448
1997.59717,0,14.939,25.896,18.98,0
1997.59717,10,13.84,28.31,21.056,0.077623
1997.59717,20,12.576,29.956,22.569,0.13725
1997.59717,30,11.63,30.662,23.29,0.186232
1997.59717,50,8.459,31.493,24.455,0.264581
1997.59717,75,6.44,31.871,25.027,0.343287
1997.59717,100,5.745,32.147,25.33,0.413658
1997.59717,150,5.539,32.483,25.619,0.542098
1997.59717,200,5.666,32.951,25.974,0.652579
1997.59717,250,5.724,33.06,26.054,0.753751
1997.69348,0,13.598,22.73,16.803,0
1997.69348,10,14.033,27.221,20.179,0.089884
1997.69348,20,13.848,28.673,21.334,0.157965
1997.69348,30,13.664,29.764,22.212,0.217784
1997.69348,50,9.377,31.559,24.367,0.307272
1997.69348,75,6.313,31.901,25.067,0.38642
1997.69348,100,6.589,32.256,25.311,0.456297
1997.69348,150,5.934,32.511,25.594,0.583863
1997.69348,200,5.661,32.85,25.895,0.695754
1997.69348,250,5.716,33.043,26.041,0.798944
1997.77576,0,10.324,27.515,21.064,0
1997.77576,10,10.393,27.693,21.192,0.067235
1997.77576,20,11.962,29.303,22.176,0.130297
1997.77576,30,11.862,30.156,22.855,0.182952
1997.77576,50,10.93,31.391,23.979,0.273629
1997.77576,75,7.819,31.724,24.727,0.362233
1997.77576,100,6.458,32.123,25.223,0.436482
1997.77576,150,5.904,32.383,25.497,0.569014
1997.77576,200,5.776,32.782,25.828,0.685888
1997.77576,250,5.713,32.979,25.991,0.791866
1997.79419,0,9.236,27.84,21.484,0
1997.79419,10,9.927,28.791,22.12,0.061417
1997.79419,20,10.687,29.721,22.722,0.115377
1997.79419,30,10.932,30.54,23.317,0.16468
1997.79419,50,11.726,31.62,24.016,0.249272
1997.79419,75,9.446,31.671,24.443,0.342623
1997.79419,100,7.986,31.912,24.852,0.425483
1997.79419,150,5.785,32.465,25.576,0.561178
1997.79419,200,6.008,32.859,25.861,0.675405
1997.79419,250,5.824,32.949,25.954,0.782489
1997.85986,0,7.975,29.022,22.587,0
1997.85986,10,8.167,29.254,22.743,0.052184
1997.85986,20,8.163,29.271,22.756,0.103403
1997.85986,30,8.131,29.297,22.781,0.15453
1997.85986,50,8.633,29.962,23.231,0.251265
1997.85986,75,8.947,30.547,23.642,0.362005
1997.85986,100,9.394,31.49,24.31,0.459736
1997.85986,150,8.198,31.94,24.843,0.630087
1997.85986,200,6.736,32.244,25.283,0.778236
1997.85986,250,5.829,32.883,25.901,0.894867
1998.01672,0,5.366,30.552,24.112,0
1998.01672,10,5.417,30.856,24.346,0.035211
1998.01672,20,5.431,30.873,24.358,0.071141
1998.01672,30,5.427,30.873,24.359,0.107012
1998.01672,50,5.448,30.878,24.36,0.178763
1998.01672,75,5.668,30.926,24.374,0.268388
1998.01672,100,6.423,31.341,24.611,0.355256
1998.01672,150,7.036,31.664,24.787,0.518565
1998.01672,200,7.512,32.099,25.066,0.672535
1998.01672,250,7.175,32.358,25.315,0.814326
1998.10156,0,5.042,30.796,24.34,0
1998.10156,10,5.182,30.925,24.427,0.034197
1998.10156,20,5.332,30.958,24.436,0.069404
1998.10156,30,5.563,31.07,24.499,0.10421
1998.10156,50,5.723,31.136,24.533,0.1728
1998.10156,75,5.779,31.2,24.578,0.258186
1998.10156,100,5.996,31.343,24.664,0.342122
1998.10156,150,6.236,31.679,24.901,0.499658
1998.10156,200,6.893,32.029,25.093,0.649462
1998.10156,250,7.212,32.624,25.519,0.786576
1998.18372,0,4.888,31.029,24.54,0
1998.18372,10,4.995,31.076,24.567,0.034054
1998.18372,20,5.198,31.185,24.63,0.067623
1998.18372,30,5.237,31.211,24.647,0.100844
1998.18372,50,5.379,31.298,24.7,0.16652
1998.18372,75,5.504,31.39,24.759,0.247293
1998.18372,100,6.224,31.661,24.888,0.326496
1998.18372,150,6.502,31.849,25.001,0.477942
1998.18372,200,6.675,32.02,25.115,0.624646
1998.18372,250,6.871,32.208,25.237,0.766407
1998.19141,0,5.014,31.114,24.594,0
1998.19141,10,5.012,31.113,24.593,0.033614
1998.19141,20,5.013,31.113,24.593,0.067239
1998.19141,30,5.076,31.127,24.598,0.100861
1998.19141,50,5.407,31.308,24.705,0.166834
1998.19141,75,6.305,31.63,24.854,0.246604
1998.19141,100,6.269,31.704,24.917,0.323885
1998.19141,150,6.529,31.867,25.012,0.474852
1998.19141,200,6.785,32.106,25.168,0.618814
1998.19141,250,6.862,32.225,25.252,0.75951
1998.20215,0,4.916,30.984,24.502,0
1998.20215,10,4.92,30.991,24.507,0.034488
1998.20215,20,4.961,31.062,24.559,0.068712
1998.20215,30,5.106,31.167,24.626,0.102323
1998.20215,50,5.295,31.256,24.676,0.16859
1998.20215,75,5.783,31.488,24.804,0.249724
1998.20215,100,5.858,31.628,24.906,0.327556
1998.20215,150,6.551,31.9,25.036,0.478726
1998.20215,200,6.722,32.046,25.129,0.624496
1998.20215,250,6.856,32.184,25.22,0.765576
1998.24683,0,5.119,30.961,24.462,0
1998.24683,10,5.112,30.959,24.461,0.034868
1998.24683,20,5.143,30.974,24.47,0.069685
1998.24683,30,5.158,30.987,24.479,0.104458
1998.24683,50,5.442,31.204,24.619,0.172794
1998.24683,75,5.548,31.324,24.702,0.255495
1998.24683,100,5.691,31.45,24.785,0.336139
1998.24683,150,6.423,31.855,25.016,0.489356
1998.24683,200,6.544,32.015,25.127,0.635949
1998.24683,250,6.546,32.476,25.491,0.771769
1998.25024,0,5.057,30.956,24.464,0
1998.25024,10,5.074,30.962,24.468,0.034836
1998.25024,20,5.104,30.971,24.471,0.069648
1998.25024,30,5.179,31.021,24.503,0.104275
1998.25024,50,5.229,31.049,24.52,0.173204
1998.25024,75,5.563,31.329,24.704,0.257159
1998.25024,100,5.692,31.455,24.789,0.337438
1998.25024,150,6.388,31.85,25.017,0.491109
1998.25024,200,6.645,32.217,25.274,0.634754
1998.25024,250,6.518,32.531,25.538,0.763192
1998.26501,0,4.651,30.534,24.172,0
1998.26501,10,4.841,30.757,24.33,0.037264
1998.26501,20,5.214,31.094,24.557,0.072154
1998.26501,30,5.426,31.25,24.657,0.105727
1998.26501,50,5.51,31.319,24.702,0.171263
1998.26501,75,5.586,31.375,24.738,0.252576
1998.26501,100,5.796,31.54,24.844,0.33179
1998.26501,150,6.091,31.718,24.949,0.485774
1998.26501,200,6.388,31.975,25.116,0.634718
1998.26501,250,6.383,32.661,25.658,0.768898
1998.3479,0,6.339,29.938,23.515,0
1998.3479,10,6.223,30.592,24.045,0.042917
1998.3479,20,6.07,30.895,24.302,0.079702
1998.3479,30,6.07,30.984,24.372,0.115826
1998.3479,50,6.296,31.367,24.647,0.183782
1998.3479,75,6.515,31.642,24.837,0.265118
1998.3479,100,6.645,31.759,24.913,0.34251
1998.3479,150,6.493,31.932,25.068,0.493879
1998.3479,200,6.165,32.648,25.674,0.62115
1998.3479,250,5.833,32.818,25.849,0.735003
1998.35425,0,6.023,30.733,24.18,0
1998.35425,10,6.043,30.802,24.232,0.03723
1998.35425,20,6.044,30.828,24.252,0.07419
1998.35425,30,6.048,30.865,24.281,0.111015
1998.35425,50,6.048,30.983,24.375,0.183854
1998.35425,75,6.109,31.123,24.478,0.272126
1998.35425,100,6.503,31.644,24.84,0.354056
1998.35425,150,6.471,32.107,25.209,0.504974
1998.35425,200,6.168,32.655,25.68,0.631777
1998.35425,250,5.879,32.787,25.819,0.745273
1998.36633,0,6.76,29.393,23.035,0
1998.36633,10,6.197,30.509,23.983,0.047152
1998.36633,20,6.043,30.813,24.241,0.084881
1998.36633,30,6.058,30.897,24.306,0.121564
1998.36633,50,6.131,31.222,24.553,0.192914
1998.36633,75,6.634,31.543,24.744,0.275418
1998.36633,100,6.733,31.77,24.91,0.354402
1998.36633,150,6.467,32.097,25.202,0.503639
1998.36633,200,6.01,32.724,25.753,0.624602
1998.36633,250,5.872,32.782,25.816,0.736675
